task,feature_set,feature_set_display,ensemble_model,ensemble_model_display,ensemble_mean_mae,tabpfn_mean_mae,extra_trees_mean_mae,mae_delta_ensemble_minus_tabpfn,mae_pct_change_ensemble_minus_tabpfn,mae_delta_ensemble_minus_extra_trees,mae_pct_change_ensemble_minus_extra_trees
matbench_expt_gap,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,0.3850856779606842,0.36880423957687997,0.40834399835245244,0.016281438383804248,4.4146559710060655,-0.023258320391768228,-5.695766433597332
matbench_jdft2d,magpie_structure_all,Magpie + all structure,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,36.35994484572164,34.39592203788164,40.54347308351945,1.9640228078400028,5.710045527132385,-4.183528237797809,-10.31862324468294
matbench_jdft2d,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,36.94785077166473,34.96278593035964,40.742675384598684,1.9850648413050962,5.6776506462014575,-3.794824612933951,-9.314127207189857
matbench_jdft2d,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,37.50161103196727,35.09316664636881,41.86835138196757,2.4084443855984645,6.8630010220171265,-4.366740350000299,-10.429692609967503
matbench_jdft2d,magpie_density_packing,Magpie + density + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,37.82862800309538,34.82078784923712,43.179493972504325,3.007840153858261,8.63805887127324,-5.350865969408943,-12.392146079377973
matbench_jdft2d,magpie_density,Magpie + density,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,38.33073410819732,36.007937966554294,42.887012208761504,2.3227961416430247,6.450789111557948,-4.556278100564185,-10.623911216723489
matbench_jdft2d,magpie_packing,Magpie + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,40.1535766586591,36.6971680979237,47.34085970294261,3.4564085607353974,9.41873376036054,-7.187283044283511,-15.181986743339104
matbench_jdft2d,magpie_symmetry,Magpie + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,43.18679636047248,43.787273305662936,44.70899397368537,-0.6004769451904579,-1.371350394437096,-1.5221976132128887,-3.404678741169657
matbench_jdft2d,magpie_complexity,Magpie + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,44.66547822406702,43.037673611401736,47.962936495877784,1.6278046126652868,3.7822783530614474,-3.2974582718107612,-6.87501331803186
matbench_jdft2d,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,46.908933185763644,46.13013884439926,49.43534342288772,0.7787943413643816,1.6882549258984865,-2.5264102371240753,-5.110534411609631
matbench_phonons,magpie_density_packing_complexity,Magpie + density + packing + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,35.28537808845641,30.985622137435264,44.36229115386608,4.299755951021147,13.876616489899035,-9.07691306540967,-20.460875282404423
matbench_phonons,magpie_structure_all,Magpie + all structure,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,35.33884908224559,30.63097806308275,45.66806547047348,4.7078710191628375,15.369639877209424,-10.329216388227891,-22.61802921103853
matbench_phonons,magpie_density_packing,Magpie + density + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,35.407967442987,31.1280827344103,44.22702742886832,4.279884708576702,13.74927182343144,-8.819059985881317,-19.940431221757514
matbench_phonons,magpie_density_packing_symmetry,Magpie + density + packing + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,35.5353690972582,31.108186094299988,45.39747726004952,4.427183002958209,14.231569110258762,-9.862108162791323,-21.72391233613796
matbench_phonons,magpie_packing,Magpie + packing,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,35.95920928347862,31.63813501805729,44.71505282051151,4.3210742654213306,13.657803353311127,-8.755843537032888,-19.581422775411422
matbench_phonons,magpie_density,Magpie + density,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,38.99602181021769,32.263464101340034,50.50765327012432,6.732557708877657,20.867435957064593,-11.511631459906631,-22.79185571806373
matbench_phonons,magpie_symmetry,Magpie + symmetry,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,40.33466647798309,34.631008259155585,50.812304553107744,5.703658218827506,16.469801214406168,-10.477638075124652,-20.6202772483458
matbench_phonons,magpie_complexity,Magpie + complexity,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,41.347589591234865,35.409783705517455,50.881352115204656,5.93780588571741,16.768828454583858,-9.533762523969791,-18.737242875117815
matbench_phonons,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,42.16495986018632,36.853154223021924,51.35537255835523,5.311805637164397,14.413435563803512,-9.190412698168906,-17.895718092057106
matbench_steels,magpie,Magpie composition,tabpfn_extra_trees_ensemble,TabPFN + ExtraTrees 50/50,87.00428388329844,87.65086036756352,90.77583349718381,-0.6465764842650827,-0.7376727182752878,-3.7715496138853695,-4.154794804503091
